Sample Index,Iterative Silhouette
0,
1,
2,
3,0.0380699560046196
4,0.10658244788646698
5,0.36470404267311096
6,0.3328540027141571
7,0.2877524197101593
8,0.30276578664779663
9,0.3075229525566101
10,0.3162635862827301
11,0.35647234320640564
12,0.39201194047927856
13,0.36768460273742676
14,0.3483264148235321
15,0.33983325958251953
16,0.35791492462158203
17,0.3488275110721588
18,0.36527371406555176
19,0.36550766229629517
20,0.360520601272583
21,0.3593248128890991
22,0.355779767036438
23,0.3512814939022064
24,0.3439196050167084
25,0.36160579323768616
26,0.3553707003593445
27,0.34634774923324585
28,0.3610481321811676
29,0.35810449719429016
30,0.3650291860103607
31,0.3637849688529968
32,0.37243470549583435
33,0.374686598777771
34,0.3870861232280731
35,0.4001750349998474
36,0.3825675845146179
37,0.3764486610889435
38,0.3808765411376953
39,0.373391717672348
40,0.3637304902076721
41,0.3633615970611572
42,0.3579246699810028
43,0.3537513315677643
44,0.3479444682598114
45,0.3561820089817047
46,0.3656647801399231
47,0.3726808726787567
48,0.3810679316520691
49,0.38061589002609253
50,0.3802289068698883
51,0.38847094774246216
52,0.39488521218299866
53,0.3936424255371094
54,0.38922008872032166
55,0.39337411522865295
56,0.3923094570636749
57,0.3918793201446533
58,0.38750651478767395
59,0.3874634802341461
60,0.3936010003089905
61,0.39116019010543823
62,0.3963463008403778
63,0.38922035694122314
64,0.38481229543685913
65,0.3915078938007355
66,0.3959309756755829
67,0.39414799213409424
68,0.38994044065475464
69,0.3914024829864502
70,0.38833707571029663
71,0.38596898317337036
72,0.39043283462524414
73,0.3860214352607727
74,0.3827035427093506
75,0.3792037069797516
76,0.3840809166431427
77,0.3894404470920563
78,0.38863301277160645
79,0.3911570906639099
80,0.39223048090934753
81,0.395927757024765
82,0.3962078392505646
83,0.400320827960968
84,0.40552279353141785
85,0.40306198596954346
86,0.4063479006290436
87,0.40339764952659607
88,0.40252697467803955
89,0.4004811942577362
90,0.39559441804885864
91,0.3904237449169159
92,0.39335066080093384
93,0.39418667554855347
94,0.39358609914779663
95,0.3973926603794098
96,0.39987969398498535
97,0.4032251536846161
98,0.40735456347465515
99,0.4011094570159912
100,0.4047583341598511
101,0.40453970432281494
102,0.40755727887153625
103,0.40502607822418213
104,0.40858763456344604
105,0.40848299860954285
106,0.4124160706996918
107,0.41286981105804443
108,0.4122507572174072
109,0.41385629773139954
110,0.41411298513412476
111,0.41769909858703613
112,0.4135865271091461
113,0.41097530722618103
114,0.41353482007980347
115,0.41231828927993774
116,0.4092469811439514
117,0.4119255840778351
118,0.4138199985027313
119,0.41055208444595337
120,0.40360119938850403
121,0.40211883187294006
122,0.40555253624916077
123,0.40714016556739807
124,0.40552523732185364
125,0.4050725996494293
126,0.40754109621047974
127,0.4028843641281128
128,0.4056258797645569
129,0.4056378901004791
130,0.40275833010673523
131,0.40053385496139526
