Sample Index,Iterative Silhouette
0,
1,
2,
3,0.1840008795261383
4,0.14720070362091064
5,0.10988954454660416
6,0.0941910371184349
7,0.09429499506950378
8,0.11627520620822906
9,0.23276865482330322
10,0.2076166719198227
11,0.15667986869812012
12,0.14462757110595703
13,0.08335252851247787
14,0.06275837123394012
15,0.04252757132053375
16,0.04834190756082535
17,0.045656248927116394
18,0.0850684866309166
19,0.10551820695400238
20,0.11864592134952545
21,0.11442282050848007
22,0.11475123465061188
23,0.09633064270019531
24,0.09743275493383408
25,0.0953625962138176
26,0.08434195071458817
27,0.055557578802108765
28,0.08762263506650925
29,0.07970169931650162
30,0.09353876113891602
31,0.09891455620527267
32,0.09176452457904816
33,0.09110995382070541
34,0.08713625371456146
35,0.10986308753490448
36,0.1121164932847023
37,0.11094588786363602
38,0.1138199046254158
39,0.11435101181268692
40,0.12776857614517212
41,0.12420155853033066
42,0.12142345309257507
43,0.13268165290355682
44,0.1322057992219925
45,0.14444394409656525
46,0.1379496157169342
47,0.12918132543563843
48,0.12098127603530884
49,0.11153082549571991
50,0.11789198219776154
51,0.12011079490184784
52,0.12214697897434235
53,0.1176481619477272
54,0.113260917365551
55,0.11412526667118073
56,0.11655348539352417
57,0.12768764793872833
58,0.12467411905527115
59,0.12602755427360535
60,0.12937544286251068
61,0.12530426681041718
62,0.12351692467927933
63,0.12669043242931366
64,0.1207842156291008
65,0.1210528016090393
66,0.11012347787618637
67,0.109248585999012
68,0.10425658524036407
69,0.10427071899175644
70,0.1086013913154602
71,0.10579650104045868
72,0.11226137727499008
73,0.11274715512990952
74,0.11209655553102493
75,0.11265255510807037
76,0.11301398277282715
77,0.11189163476228714
78,0.10640418529510498
79,0.10674841701984406
80,0.10755802690982819
81,0.10894681513309479
82,0.10768083482980728
83,0.1119891032576561
84,0.11298255622386932
85,0.1126786395907402
86,0.10719611495733261
87,0.10441604256629944
88,0.11114191263914108
89,0.11079507321119308
90,0.11359310895204544
91,0.11434159427881241
92,0.11079446971416473
93,0.10840921103954315
94,0.1077740415930748
95,0.10619363188743591
96,0.11079186201095581
97,0.11007970571517944
98,0.11214115470647812
99,0.1092044934630394
100,0.10976488143205643
101,0.10979360342025757
102,0.11029407382011414
103,0.11152476817369461
104,0.11119712889194489
105,0.11308679729700089
106,0.11034399271011353
107,0.10791243612766266
108,0.10662135481834412
109,0.10414250195026398
110,0.10425739735364914
111,0.10228729248046875
112,0.10294060409069061
113,0.10131922364234924
114,0.1018332690000534
115,0.10711230337619781
116,0.10667542368173599
117,0.11134017258882523
118,0.1160506084561348
119,0.11564710736274719
120,0.11502505838871002
121,0.11268065124750137
122,0.11295735090970993
123,0.11200859397649765
124,0.11158901453018188
125,0.110942542552948
126,0.10875141620635986
127,0.10936087369918823
128,0.10979752987623215
129,0.11469797044992447
130,0.11414813250303268
131,0.11291691660881042
